nconst,tconst,film name,actor name,film year,film score,actor relative score
nm0000036,tt0007761,The Butcher Boy,Buster Keaton,1917,6.3,
nm0000036,tt0007819,Coney Island,Buster Keaton,1917,6.3,
nm0000036,tt0007825,A Country Hero,Buster Keaton,1917,6.9,
nm0000036,tt0008112,His Wedding Night,Buster Keaton,1917,6.0,
nm0000036,tt0008377,Oh Doctor!,Buster Keaton,1917,5.9,
nm0000036,tt0008523,The Rough House,Buster Keaton,1917,5.6,
nm0000036,tt0008874,The Bell Boy,Buster Keaton,1918,6.7,
nm0000036,tt0008975,The Cook,Buster Keaton,1918,6.6,
nm0000036,tt0009123,"Good Night, Nurse!",Buster Keaton,1918,6.1,
nm0000036,tt0009389,Moonshine,Buster Keaton,1918,5.8,
nm0000036,tt0009466,Out West,Buster Keaton,1918,6.4,
nm0000036,tt0009899,Back Stage,Buster Keaton,1919,6.6,
nm0000036,tt0010155,The Garage,Buster Keaton,1920,6.7,
nm0000036,tt0010221,The Hayseed,Buster Keaton,1919,6.0,
nm0000036,tt0011071,Convict 13,Buster Keaton,1920,7.1,
nm0000036,tt0011508,Neighbors,Buster Keaton,1920,7.6,
nm0000036,tt0011541,One Week,Buster Keaton,1920,8.2,
nm0000036,tt0011656,The Scarecrow,Buster Keaton,1920,7.8,
nm0000036,tt0011984,The Boat,Buster Keaton,1921,7.1,
nm0000036,tt0012224,The Goat,Buster Keaton,1921,7.7,
nm0000036,tt0012253,Hard Luck,Buster Keaton,1921,7.0,
nm0000036,tt0012255,The Haunted House,Buster Keaton,1921,7.0,
nm0000036,tt0012278,The 'High Sign',Buster Keaton,1921,7.6,
nm0000036,tt0012543,The Paleface,Buster Keaton,1922,6.9,
nm0000036,tt0012570,The Play House,Buster Keaton,1921,7.6,
nm0000036,tt0012945,The Blacksmith,Buster Keaton,1922,6.9,
nm0000036,tt0013025,Cops,Buster Keaton,1922,7.6,
nm0000036,tt0013055,Day Dreams,Buster Keaton,1922,6.9,
nm0000036,tt0013099,The Electric House,Buster Keaton,1922,7.2,
nm0000036,tt0013158,The Frozen North,Buster Keaton,1922,6.5,
nm0000036,tt0013422,My Wife's Relations,Buster Keaton,1922,6.6,
