nconst,tconst,film name,actor name,film year,film score,actor relative score
nm0000197,tt0051500,The Cry Baby Killer,Jack Nicholson,1958,5.1,-1.2086549725208804
nm0000197,tt0051500,The Cry Baby Killer,Jack Nicholson,1958,5.1,-1.2086549725208804
nm0000197,tt0051500,The Cry Baby Killer,Jack Nicholson,1958,5.1,-1.2086549725208804
nm0000197,tt0051500,The Cry Baby Killer,Jack Nicholson,1958,5.1,-1.2086549725208804
nm0000197,tt0051500,The Cry Baby Killer,Jack Nicholson,1958,5.1,-1.2086549725208804
nm0000197,tt0054475,The Wild Ride,Jack Nicholson,1960,4.4,-1.8465529260511029
nm0000197,tt0055811,The Broken Land,Jack Nicholson,1962,5.1,-1.2302307001938406
nm0000197,tt0057569,The Terror,Jack Nicholson,1963,5.0,-1.325211787782615
nm0000197,tt0057582,Thunder Island,Jack Nicholson,1963,5.2,-1.1460374764415455
nm0000197,tt0057864,Back Door to Hell,Jack Nicholson,1964,5.3,-1.061844252689251
nm0000197,tt0059653,Ride in the Whirlwind,Jack Nicholson,1966,6.5,0.0024137515206855
nm0000197,tt0060418,Flight to Fury,Jack Nicholson,1964,5.6,-0.7930827856776471
nm0000197,tt0061758,Hells Angels on Wheels,Jack Nicholson,1967,5.2,-1.1676132041145055
nm0000197,tt0062262,The Shooting,Jack Nicholson,1966,6.6,0.0920009071912199
nm0000197,tt0062395,The Trip,Jack Nicholson,1967,6.1,-0.3613288030796937
nm0000197,tt0063049,Head,Jack Nicholson,1968,6.5,-0.0083741123157945
nm0000197,tt0063469,Psych-Out,Jack Nicholson,1968,6.0,-0.4563098906684681
nm0000197,tt0064276,Easy Rider,Jack Nicholson,1969,7.3,0.7029292011302429
nm0000197,tt0065724,Five Easy Pieces,Jack Nicholson,1970,7.4,0.7871224248825381
nm0000197,tt0066286,The Rebel Rousers,Jack Nicholson,1970,4.1,-2.169253712245108
nm0000197,tt0066892,Carnal Knowledge,Jack Nicholson,1971,7.0,0.4233798702821589
nm0000197,tt0067699,A Safe Place,Jack Nicholson,1971,5.1,-1.278776087458001
nm0000197,tt0068509,"Drive, He Said",Jack Nicholson,1971,5.8,-0.6516659977642578
nm0000197,tt0068805,The King of Marvin Gardens,Jack Nicholson,1972,6.5,-0.0299498399887546
nm0000197,tt0070290,The Last Detail,Jack Nicholson,1973,7.5,0.8605277847983525
nm0000197,tt0071315,Chinatown,Jack Nicholson,1974,8.2,1.4822439425738547
nm0000197,tt0073008,The Fortune,Jack Nicholson,1975,5.7,-0.7628288811077524
nm0000197,tt0073486,One Flew Over the Cuckoo's Nest,Jack Nicholson,1975,8.7,1.924785789008288
nm0000197,tt0073580,Professione: reporter,Jack Nicholson,1975,7.6,0.9393270766324068
nm0000197,tt0074906,The Missouri Breaks,Jack Nicholson,1976,6.5,-0.0515255676617148
nm0000197,tt0077621,Goin' South,Jack Nicholson,1978,6.2,-0.3310748985097989
nm0000197,tt0081505,The Shining,Jack Nicholson,1980,8.4,1.629054662405485
nm0000197,tt0082934,The Postman Always Rings Twice,Jack Nicholson,1981,6.6,0.0110919284176193
nm0000197,tt0083678,The Border,Jack Nicholson,1982,6.4,-0.1734763148416895
nm0000197,tt0086425,Terms of Endearment,Jack Nicholson,1983,7.4,0.7170013099454177
nm0000197,tt0089841,Prizzi's Honor,Jack Nicholson,1985,6.7,0.0791033564151943
nm0000197,tt0091188,Heartburn,Jack Nicholson,1986,6.1,-0.4638135095262544
nm0000197,tt0093277,Ironweed,Jack Nicholson,1987,6.7,0.0683154925787143
nm0000197,tt0094332,The Witches of Eastwick,Jack Nicholson,1987,6.6,-0.0212716630918208
nm0000197,tt0096895,Batman,Jack Nicholson,1989,7.5,0.7742248741065118
nm0000197,tt0100828,The Two Jakes,Jack Nicholson,1990,6.2,-0.3958020815286802
nm0000197,tt0104257,A Few Good Men,Jack Nicholson,1992,7.7,0.9372173896928604
nm0000197,tt0104427,Hoffa,Jack Nicholson,1992,6.6,-0.0482413226830218
nm0000197,tt0104804,Man Trouble,Jack Nicholson,1992,4.7,-1.7503972804231809
nm0000197,tt0111742,Wolf,Jack Nicholson,1994,6.2,-0.4173778092016403
nm0000197,tt0112744,The Crossing Guard,Jack Nicholson,1995,6.3,-0.333184585449346
nm0000197,tt0115710,Blood and Wine,Jack Nicholson,1996,6.0,-0.60733998437919
nm0000197,tt0116996,Mars Attacks!,Jack Nicholson,1996,6.4,-0.2489913616970508
nm0000197,tt0119822,As Good as It Gets,Jack Nicholson,1997,7.7,0.9102477301016604
nm0000197,tt0156040,A Tribute to Jack Nicholson,Jack Nicholson,1994,7.0,0.2993194361626372
nm0000197,tt0180847,Monsters & Maniacs,Jack Nicholson,1988,5.4,-1.1017114630564768
nm0000197,tt0203667,Making 'The Shining',Jack Nicholson,1980,7.6,0.9123574170412064
nm0000197,tt0237572,The Pledge,Jack Nicholson,2001,6.8,0.0823876013938873
nm0000197,tt0257360,About Schmidt,Jack Nicholson,2002,7.1,0.3457551364872513
nm0000197,tt0291145,Elephant's Child,Jack Nicholson,1987,8.0,1.2329485162956657
nm0000197,tt0305224,Anger Management,Jack Nicholson,2003,6.2,-0.4659231964658007
nm0000197,tt0311376,Junket Whore,Jack Nicholson,1998,4.3,-2.1411094946147604
nm0000197,tt0337741,Something's Gotta Give,Jack Nicholson,2003,6.7,-0.0179874181131271
nm0000197,tt0341718,Cinéma cinémas,Jack Nicholson,1982,6.9,0.2744594635109841
nm0000197,tt0374653,A Few Good Men: From Stage to Screen,Jack Nicholson,2001,6.8,0.0823876013938873
nm0000197,tt0381436,My Buddy Jack,Jack Nicholson,2003,4.9,-1.630556220182752
nm0000197,tt0387121,Chronicles: Van's Last Performance,Jack Nicholson,1971,6.0,-0.4724916864231882
nm0000197,tt0402210,Getting the Goods on 'As Good As It Gets',Jack Nicholson,1997,7.5,0.7310734187605907
nm0000197,tt0407887,The Departed,Jack Nicholson,2006,8.5,1.5783995882017774
nm0000197,tt0429545,Afterthoughts,Jack Nicholson,2002,6.5,-0.1917677975359566
nm0000197,tt0461644,A Tribute to Meryl Streep,Jack Nicholson,2004,8.1,1.2308388293561183
nm0000197,tt0461679,Jack Nicholson,Jack Nicholson,2005,6.4,-0.2975367489612112
