tconst,name,genre,film year,rating,nconst,Primary Actor Relative Ratings,Primary Actor Relative Ratings - Mean,Primary Actor Relative Ratings - Std Dev
tt0051500,The Cry Baby Killer,"['Crime', 'Drama', 'Thriller']",1958,5.1,"['nm0000197', 'nm0000197', 'nm0000197', 'nm0000197', 'nm0000197']","[-1.2086549725208804, -1.2086549725208804, -1.2086549725208804, -1.2086549725208804, -1.2086549725208804]",-1.2086549725208804,0.0
tt0054475,The Wild Ride,"['Crime', 'Drama']",1960,4.4,['nm0000197'],[-1.8465529260511029],-1.8465529260511029,0.0
tt0055811,The Broken Land,['Western'],1962,5.1,['nm0000197'],[-1.2302307001938406],-1.2302307001938406,0.0
tt0057569,The Terror,"['Horror', 'Thriller']",1963,5.0,['nm0000197'],[-1.325211787782615],-1.325211787782615,0.0
tt0057582,Thunder Island,"['Action', 'Drama', 'Thriller']",1963,5.2,['nm0000197'],[-1.1460374764415455],-1.1460374764415455,0.0
tt0057864,Back Door to Hell,"['Drama', 'War']",1964,5.3,['nm0000197'],[-1.061844252689251],-1.061844252689251,0.0
tt0059653,Ride in the Whirlwind,['Western'],1966,6.5,['nm0000197'],[0.0024137515206855],0.0024137515206855,0.0
tt0060418,Flight to Fury,['Adventure'],1964,5.6,['nm0000197'],[-0.7930827856776471],-0.7930827856776471,0.0
tt0061758,Hells Angels on Wheels,"['Crime', 'Drama', 'Thriller']",1967,5.2,['nm0000197'],[-1.1676132041145055],-1.1676132041145055,0.0
tt0062262,The Shooting,['Western'],1966,6.6,['nm0000197'],[0.0920009071912199],0.0920009071912199,0.0
tt0062395,The Trip,['Drama'],1967,6.1,['nm0000197'],[-0.3613288030796937],-0.3613288030796937,0.0
tt0063049,Head,"['Comedy', 'Fantasy', 'Musical']",1968,6.5,['nm0000197'],[-0.0083741123157945],-0.0083741123157945,0.0
tt0063469,Psych-Out,['Drama'],1968,6.0,['nm0000197'],[-0.4563098906684681],-0.4563098906684681,0.0
tt0064276,Easy Rider,"['Adventure', 'Drama']",1969,7.3,['nm0000197'],[0.7029292011302429],0.7029292011302429,0.0
tt0065724,Five Easy Pieces,['Drama'],1970,7.4,['nm0000197'],[0.7871224248825381],0.7871224248825381,0.0
tt0066286,The Rebel Rousers,"['Crime', 'Drama']",1970,4.1,['nm0000197'],[-2.169253712245108],-2.169253712245108,0.0
tt0066892,Carnal Knowledge,['Drama'],1971,7.0,['nm0000197'],[0.4233798702821589],0.4233798702821589,0.0
tt0067699,A Safe Place,['Drama'],1971,5.1,"['nm0000197', 'nm0000080']","[-1.278776087458001, -2.053880196436338]",-1.6663281419471694,0.3875520544891684
tt0068509,"Drive, He Said","['Comedy', 'Drama', 'Sport']",1971,5.8,['nm0000197'],[-0.6516659977642578],-0.6516659977642578,0.0
tt0068805,The King of Marvin Gardens,['Drama'],1972,6.5,['nm0000197'],[-0.0299498399887546],-0.0299498399887546,0.0
tt0070290,The Last Detail,"['Comedy', 'Drama']",1973,7.5,['nm0000197'],[0.8605277847983525],0.8605277847983525,0.0
tt0071315,Chinatown,"['Drama', 'Mystery', 'Thriller']",1974,8.2,['nm0000197'],[1.4822439425738547],1.4822439425738547,0.0
tt0073008,The Fortune,"['Comedy', 'Crime', 'Romance']",1975,5.7,['nm0000197'],[-0.7628288811077524],-0.7628288811077524,0.0
tt0073486,One Flew Over the Cuckoo's Nest,['Drama'],1975,8.7,"['nm0000197', 'nm0000140']","[1.924785789008288, 1.3321555463771084]",1.628470667692698,0.2963151213155898
tt0073580,The Passenger,"['Drama', 'Thriller']",1975,7.6,['nm0000197'],[0.9393270766324068],0.9393270766324068,0.0
tt0074906,The Missouri Breaks,"['Drama', 'Western']",1976,6.5,"['nm0000197', 'nm0000008']","[-0.0515255676617148, -0.6396185843784569]",-0.3455720760200858,0.294046508358371
tt0077621,Goin' South,"['Comedy', 'Romance', 'Western']",1978,6.2,['nm0000197'],[-0.3310748985097989],-0.3310748985097989,0.0
tt0081505,The Shining,"['Drama', 'Horror']",1980,8.4,['nm0000197'],[1.629054662405485],1.629054662405485,0.0
tt0082934,The Postman Always Rings Twice,"['Crime', 'Drama', 'Romance']",1981,6.6,['nm0000197'],[0.0110919284176193],0.0110919284176193,0.0
tt0083678,The Border,"['Crime', 'Drama']",1982,6.4,['nm0000197'],[-0.1734763148416895],-0.1734763148416895,0.0
tt0086425,Terms of Endearment,"['Comedy', 'Drama']",1983,7.4,['nm0000197'],[0.7170013099454177],0.7170013099454177,0.0
tt0089841,Prizzi's Honor,"['Comedy', 'Crime', 'Drama']",1985,6.7,['nm0000197'],[0.0791033564151943],0.0791033564151943,0.0
tt0091188,Heartburn,"['Comedy', 'Drama']",1986,6.1,['nm0000197'],[-0.4638135095262544],-0.4638135095262544,0.0
tt0093277,Ironweed,['Drama'],1987,6.7,['nm0000197'],[0.0683154925787143],0.0683154925787143,0.0
tt0094332,The Witches of Eastwick,"['Comedy', 'Fantasy', 'Horror']",1987,6.6,['nm0000197'],[-0.0212716630918208],-0.0212716630918208,0.0
tt0096895,Batman,"['Action', 'Adventure']",1989,7.5,['nm0000197'],[0.7742248741065118],0.7742248741065118,0.0
tt0100828,The Two Jakes,"['Crime', 'Drama', 'Mystery']",1990,6.2,['nm0000197'],[-0.3958020815286802],-0.3958020815286802,0.0
tt0104257,A Few Good Men,"['Drama', 'Thriller']",1992,7.7,"['nm0000197', 'nm0000129']","[0.9372173896928604, 1.5535157708402865]",1.2453665802665734,0.308149190573713
tt0104427,Hoffa,"['Biography', 'Crime', 'Drama']",1992,6.6,['nm0000197'],[-0.0482413226830218],-0.0482413226830218,0.0
tt0104804,Man Trouble,"['Comedy', 'Romance']",1992,4.7,['nm0000197'],[-1.7503972804231809],-1.7503972804231809,0.0
tt0111742,Wolf,"['Drama', 'Horror', 'Romance']",1994,6.2,['nm0000197'],[-0.4173778092016403],-0.4173778092016403,0.0
tt0112744,The Crossing Guard,"['Drama', 'Thriller']",1995,6.3,"['nm0000197', 'nm0000576']","[-0.333184585449346, -0.2089542836652065]",-0.2710694345572762,0.0621151508920697
tt0115710,Blood and Wine,"['Crime', 'Drama', 'Thriller']",1996,6.0,"['nm0000197', 'nm0000323']","[-0.60733998437919, -0.6526662734251825]",-0.6300031289021862,0.0226631445229962
tt0116996,Mars Attacks!,"['Comedy', 'Sci-Fi']",1996,6.4,['nm0000197'],[-0.2489913616970508],-0.2489913616970508,0.0
tt0119822,As Good as It Gets,"['Comedy', 'Drama', 'Romance']",1997,7.7,['nm0000197'],[0.9102477301016604],0.9102477301016604,0.0
tt0156040,AFI Life Achievement Award: A Tribute to Jack Nicholson,['\\\\N'],1994,7.0,"['nm0000197', 'nm0000576']","[0.2993194361626372, 0.4062100170112771]",0.3527647265869571,0.0534452904243199
tt0180847,Monsters & Maniacs,"['Comedy', 'Documentary', 'Fantasy']",1988,5.4,"['nm0000197', 'nm0000537']","[-1.1017114630564768, -1.388076736479248]",-1.2448940997678624,0.1431826367113855
tt0203667,Making 'The Shining',['Documentary'],1980,7.6,['nm0000197'],[0.9123574170412064],0.9123574170412064,0.0
tt0237572,The Pledge,"['Crime', 'Drama', 'Mystery']",2001,6.8,"['nm0000197', 'nm0000576', 'nm0001125']","[0.0823876013938873, 0.2009275831459524, 0.1184641459570494]",0.133926443498963,0.0496134645864136
tt0257360,About Schmidt,"['Comedy', 'Drama']",2002,7.1,['nm0000197'],[0.3457551364872513],0.3457551364872513,0.0
tt0291145,Elephant's Child,"['Animation', 'Comedy', 'Family']",1987,8.0,['nm0000197'],[1.2329485162956657],1.2329485162956657,0.0
tt0305224,Anger Management,['Comedy'],2003,6.2,['nm0000197'],[-0.4659231964658007],-0.4659231964658007,0.0
tt0311376,Junket Whore,['Documentary'],1998,4.3,['nm0000197'],[-2.1411094946147604],-2.1411094946147604,0.0
tt0337741,Something's Gotta Give,"['Comedy', 'Drama', 'Romance']",2003,6.7,['nm0000197'],[-0.0179874181131271],-0.0179874181131271,0.0
tt0341718,Cinéma cinémas,['Documentary'],1982,6.9,"['nm0000197', 'nm0000053']","[0.2744594635109841, 0.0141789581451134]",0.1443192108280487,0.1301402526829353
tt0374653,A Few Good Men: From Stage to Screen,"['Documentary', 'Short']",2001,6.8,"['nm0000197', 'nm0000129']","[0.0823876013938873, 0.7811704044871173]",0.4317790029405023,0.349391401546615
tt0381436,My Buddy Jack,"['Comedy', 'Documentary', 'Short']",2003,4.9,['nm0000197'],[-1.630556220182752],-1.630556220182752,0.0
tt0387121,Chronicles: Van's Last Performance,['Documentary'],1971,6.0,['nm0000197'],[-0.4724916864231882],-0.4724916864231882,0.0
tt0402210,Getting the Goods on 'As Good As It Gets',['Documentary'],1997,7.5,['nm0000197'],[0.7310734187605907],0.7310734187605907,0.0
tt0407887,The Departed,"['Action', 'Crime', 'Drama']",2006,8.5,"['nm0000197', 'nm0000138', 'nm0000354']","[1.5783995882017774, 1.2699560182267824, 1.6944452078157637]",1.514266938081441,0.1791321963021921
tt0429545,Afterthoughts,['Documentary'],2002,6.5,['nm0000197'],[-0.1917677975359566],-0.1917677975359566,0.0
tt0461644,AFI Life Achievement Award: A Tribute to Meryl Streep,['\\\\N'],2004,8.1,"['nm0000197', 'nm0000134', 'nm0000120']","[1.2308388293561183, 1.178871036423332, 1.2177605658642063]",1.2091568105478856,0.0220708152656183
tt0461679,Jack Nicholson,"['Biography', 'Documentary']",2005,6.4,['nm0000197'],[-0.2975367489612112],-0.2975367489612112,0.0
tt0486477,Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Legend Reborn,"['Documentary', 'Short']",2005,7.5,['nm0000197'],[0.6879219634146704],0.6879219634146704,0.0
tt0489661,Blue Champagne,['Drama'],1992,6.3,['nm0000197'],[-0.3170027896946258],-0.3170027896946258,0.0
tt0518501,The Mink Coat,['Drama'],1960,8.5,['nm0000197'],[1.82652045644082],1.82652045644082,0.0
tt0526086,Jack Nicholson: The Joker Is Wild,"['Biography', 'Documentary']",2004,7.8,['nm0000197'],[0.9620773623445144],0.9620773623445144,0.0
tt0537886,Episode #1.5,['Reality-TV'],2003,4.0,['nm0000197'],[-2.4368406212175646],-2.4368406212175646,0.0
